,date,confirmed_cases,confirmed_rate,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
0,2020-02-01,0,0.0,,,,,,No Data,,,
1,2020-02-02,0,0.0,,,,,,No Data,,,
2,2020-02-03,0,0.0,,,,,,No Data,,,
3,2020-02-04,0,0.0,,,,,,No Data,,,
4,2020-02-05,0,0.0,,,,,,No Data,,,
5,2020-02-06,0,0.0,,,,,,No Data,,,
6,2020-02-07,0,0.0,,,,,,No Data,,,
7,2020-02-08,0,0.0,,,,,,No Data,,,
8,2020-02-09,0,0.0,,,,,,No Data,,,
9,2020-02-10,0,0.0,,,,,,No Data,,,
10,2020-02-11,0,0.0,,,,,,No Data,,,
11,2020-02-12,0,0.0,,,,,,No Data,,,
12,2020-02-13,0,0.0,,,,,,No Data,,,
13,2020-02-14,0,0.0,,,,,,No Data,,,
14,2020-02-15,0,0.0,,,,,,No Data,,,
15,2020-02-16,0,0.0,,,,,,No Data,,,
16,2020-02-17,0,0.0,,,,,,No Data,,,
17,2020-02-18,0,0.0,,,,,,No Data,,,
18,2020-02-19,0,0.0,,,,,,No Data,,,
19,2020-02-20,0,0.0,,,,,,No Data,,,
20,2020-02-21,0,0.0,,,,,,No Data,,,
21,2020-02-22,0,0.0,,,,,,No Data,,,
22,2020-02-23,0,0.0,,,,,,No Data,,,
23,2020-02-24,0,0.0,,,,,,No Data,,,
24,2020-02-25,0,0.0,,,,,,No Data,,,
25,2020-02-26,0,0.0,,,,,,No Data,,,
26,2020-02-27,0,0.0,,,,,,No Data,,,
27,2020-02-28,0,0.0,,,,,,No Data,,,
28,2020-02-29,0,0.0,,,,,,No Data,,,
29,2020-03-01,0,0.0,,,,,,No Data,,,
30,2020-03-02,0,0.0,,,,,,No Data,,,
31,2020-03-03,0,0.0,,,,,,No Data,,,
32,2020-03-04,0,0.0,,,,,,No Data,,,
33,2020-03-05,0,0.0,,,,,,No Data,,,
34,2020-03-06,0,0.0,,,,,,No Data,,,
35,2020-03-07,0,0.0,,,,,,No Data,,,
36,2020-03-08,0,0.0,,,,,,No Data,,,
37,2020-03-09,0,0.0,,,,,,No Data,,,
38,2020-03-10,0,0.0,,,,,,No Data,,,
39,2020-03-11,0,1.0,,,,,,No Data,,,
40,2020-03-12,2,0.5,,,,,,No Data,,,
41,2020-03-13,1,0.0,,,,,,No Data,,,
42,2020-03-14,2,0.5,,,,,,No Data,,,
43,2020-03-15,2,4.5,,,,,,No Data,,,
44,2020-03-16,11,6.0,,,,,,No Data,,,
45,2020-03-17,14,4.0,,,,,,No Data,,,
46,2020-03-18,19,8.0,,,,,,No Data,,,
47,2020-03-19,30,8.5,,,,,,No Data,,,
48,2020-03-20,36,8.0,,,,,,No Data,,,
49,2020-03-21,46,16.0,,,,,,No Data,,,
50,2020-03-22,68,17.5,,,,,,No Data,,,
51,2020-03-23,81,19.0,,,,,,No Data,,,
52,2020-03-24,106,18.5,,,,,,No Data,,,
53,2020-03-25,118,21.0,,,,,,No Data,,,
54,2020-03-26,148,24.0,,,,,,No Data,,,
55,2020-03-27,166,27.0,,,,,,No Data,,,
56,2020-03-28,202,26.5,,,,,,No Data,,,
57,2020-03-29,219,22.0,,,,,,No Data,,,
58,2020-03-30,246,19.0,,,,,,No Data,,,
59,2020-03-31,257,51.5,,,,,,No Data,,,
60,2020-04-01,349,81.5,,,,,,No Data,,,
61,2020-04-02,420,57.5,,,,,,No Data,,,
62,2020-04-03,464,46.0,,,,,,No Data,,,
63,2020-04-04,512,42.0,,,,,,No Data,,,
64,2020-04-05,548,31.0,,,,,,No Data,,,
65,2020-04-06,574,24.0,,,,,,No Data,,,
66,2020-04-07,596,38.5,,,,,,No Data,,,
67,2020-04-08,651,51.0,,,,,,No Data,,,
68,2020-04-09,698,45.5,,,,,,No Data,,,
69,2020-04-10,742,34.5,NY,Monroe County,36.0,55.0,2.0,No Data,,,
70,2020-04-11,767,28.0,NY,Monroe County,36.0,55.0,2.0,No Data,,,
71,2020-04-12,798,28.0,NY,Monroe County,36.0,55.0,2.0,No Data,,,
72,2020-04-13,823,26.0,NY,Monroe County,36.0,55.0,2.0,No Data,,,
73,2020-04-14,850,30.5,NY,Monroe County,36.0,55.0,2.0,No Data,,,
74,2020-04-15,884,41.0,NY,Monroe County,36.0,55.0,2.0,No Data,,,
75,2020-04-16,932,45.5,NY,Monroe County,36.0,55.0,2.0,No Data,,,
76,2020-04-17,975,38.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
77,2020-04-18,1008,28.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
78,2020-04-19,1032,23.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
79,2020-04-20,1054,19.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
80,2020-04-21,1070,29.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
81,2020-04-22,1112,41.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
82,2020-04-23,1152,43.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
83,2020-04-24,1199,66.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
84,2020-04-25,1285,58.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
85,2020-04-26,1316,23.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
86,2020-04-27,1331,27.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
87,2020-04-28,1371,36.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
88,2020-04-29,1404,35.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
89,2020-04-30,1441,37.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
90,2020-05-01,1478,46.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
91,2020-05-02,1534,44.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
92,2020-05-03,1566,30.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
93,2020-05-04,1595,28.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
94,2020-05-05,1623,30.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
95,2020-05-06,1655,32.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
96,2020-05-07,1688,40.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20217-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.17 (Apr. 15, 2020)"
97,2020-05-08,1735,43.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
98,2020-05-09,1775,43.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
99,2020-05-10,1821,37.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
100,2020-05-11,1850,34.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
101,2020-05-12,1890,54.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
102,2020-05-13,1959,64.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
103,2020-05-14,2019,66.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
104,2020-05-15,2091,86.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
105,2020-05-16,2192,83.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
106,2020-05-17,2258,55.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
107,2020-05-18,2303,59.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
108,2020-05-19,2376,81.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
109,2020-05-20,2465,77.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
110,2020-05-21,2530,68.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
111,2020-05-22,2601,65.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
112,2020-05-23,2661,48.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
113,2020-05-24,2697,36.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
114,2020-05-25,2733,32.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
115,2020-05-26,2762,29.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
116,2020-05-27,2791,31.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
117,2020-05-28,2824,34.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
118,2020-05-29,2860,42.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
119,2020-05-30,2909,41.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
120,2020-05-31,2942,27.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
121,2020-06-01,2964,23.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
122,2020-06-02,2989,42.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
123,2020-06-03,3048,46.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
124,2020-06-04,3081,34.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
125,2020-06-05,3117,43.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
126,2020-06-06,3167,36.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.29 (May 8, 2020)"
127,2020-06-07,3190,18.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
128,2020-06-08,3203,26.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
129,2020-06-09,3243,26.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
130,2020-06-10,3255,25.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
131,2020-06-11,3293,32.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
132,2020-06-12,3320,23.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
133,2020-06-13,3340,25.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
134,2020-06-14,3370,20.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
135,2020-06-15,3380,16.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
136,2020-06-16,3402,19.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
137,2020-06-17,3418,18.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
138,2020-06-18,3439,21.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
139,2020-06-19,3461,24.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
140,2020-06-20,3487,18.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
141,2020-06-21,3498,12.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
142,2020-06-22,3512,21.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
143,2020-06-23,3540,27.5,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
144,2020-06-24,3567,31.0,NY,Monroe County,36.0,55.0,1.0,Yes,Official,https://www.governor.ny.gov/news/no-20229-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,"N.Y. Exec. Order No. 202.39 (June 7, 2020)"
