DATE,MEDLISPRI36055
2016-07-01,154900.0
2016-08-01,150000.0
2016-09-01,153900.0
2016-10-01,149900.0
2016-11-01,146425.0
2016-12-01,139900.0
2017-01-01,139900.0
2017-02-01,149900.0
2017-03-01,159900.0
2017-04-01,169900.0
2017-05-01,175000.0
2017-06-01,174900.0
2017-07-01,172900.0
2017-08-01,164950.0
2017-09-01,159900.0
2017-10-01,158400.0
2017-11-01,158850.0
2017-12-01,159900.0
2018-01-01,159900.0
2018-02-01,172900.0
2018-03-01,184900.0
2018-04-01,194900.0
2018-05-01,193875.0
2018-06-01,189900.0
2018-07-01,189900.0
2018-08-01,185944.0
2018-09-01,179900.0
2018-10-01,177450.0
2018-11-01,169900.0
2018-12-01,171450.0
2019-01-01,187900.0
2019-02-01,194900.0
2019-03-01,205229.0
2019-04-01,221950.0
2019-05-01,219900.0
2019-06-01,224900.0
2019-07-01,226000.0
2019-08-01,214445.0
2019-09-01,206264.0
2019-10-01,199900.0
2019-11-01,199900.0
2019-12-01,198450.0
2020-01-01,199900.0
2020-02-01,222450.0
2020-03-01,234900.0
2020-04-01,250950.0
2020-05-01,254900.0
2020-06-01,239900.0
2020-07-01,239900.0
2020-08-01,209900.0
2020-09-01,199144.0
2020-10-01,199900.0
2020-11-01,199675.0
2020-12-01,206175.0
2021-01-01,224900.0
2021-02-01,225625.0
2021-03-01,221225.0
2021-04-01,204900.0
2021-05-01,199900.0
2021-06-01,199900.0
2021-07-01,199900.0
2021-08-01,198700.0
2021-09-01,184975.0
2021-10-01,184900.0
2021-11-01,181150.0
2021-12-01,177450.0
2022-01-01,179900.0
2022-02-01,199950.0
2022-03-01,188650.0
2022-04-01,184900.0
2022-05-01,199900.0
2022-06-01,212250.0
2022-07-01,200000.0
2022-08-01,199450.0
2022-09-01,196625.0
2022-10-01,199900.0
